tone,gain_db,Pin_dBm,Pin_mW,Pdc_mW
8,60.6,-19.4,0.011481536215,0.00179254852941
8,60.8,-19.2,0.0120226443462,0.00193869572549
8,61,-19,0.0125892541179,0.00207087880392
8,61.2,-18.8,0.0131825673856,0.00209016915686
8,61.4,-18.6,0.013803842646,0.00220592286275
8,61.6,-18.4,0.0144543977075,0.00238029662745
8,61.8,-18.2,0.0151356124844,0.00255248576471
8,62,-18,0.0158489319246,0.00272816733333
8,62.2,-17.8,0.0165958690744,0.00276707411765
8,62.4,-17.6,0.0173780082875,0.00290977321569
8,62.6,-17.4,0.0181970085861,0.00312211480392
8,62.8,-17.2,0.0190546071796,0.00339620813725
8,63,-17,0.0199526231497,0.00364399843137
8,63.2,-16.8,0.0208929613085,0.00364537341176
8,63.4,-16.6,0.0218776162395,0.00393910464706
8,63.6,-16.4,0.0229086765277,0.00467037282353
8,63.8,-16.2,0.0239883291902,0.00489441745098
8,64,-16,0.0251188643151,0.00562912733333
8,64.2,-15.8,0.026302679919,0.00538052215686
8,64.4,-15.6,0.0275422870334,0.00585754352941
8,64.6,-15.4,0.0288403150313,0.0063004887451
8,64.8,-15.2,0.030199517204,0.00674987001961
8,65,-15,0.0316227766017,0.00720364207843
8,65.2,-14.8,0.0331131121483,0.0072475082549
8,65.4,-14.6,0.0346736850453,0.00767915058824
8,65.6,-14.4,0.036307805477,0.00821106411765
8,65.8,-14.2,0.0380189396321,0.00888962901961
8,66,-14,0.0398107170553,0.0105214206667
8,66.2,-13.8,0.041686938347,0.010476633902
8,66.4,-13.6,0.043651583224,0.0112015988235
8,66.6,-13.4,0.0457088189615,0.011775273098
8,66.8,-13.2,0.0478630092323,0.0123770936667
8,67,-13,0.0501187233627,0.0132210672745
8,67.2,-12.8,0.052480746025,0.0131677679412
8,67.4,-12.6,0.0549540873858,0.0138742641373
8,67.6,-12.4,0.0575439937337,0.0147902042157
8,67.8,-12.2,0.0602559586074,0.0158394608039
8,68,-12,0.063095734448,0.0165692990784
8,68.2,-11.8,0.0660693448008,0.0166403965882
8,68.4,-11.6,0.0691830970919,0.0177241274118
8,68.6,-11.4,0.0724435960075,0.0183444156275
8,68.8,-11.2,0.0758577575029,0.0191474242157
8,69,-11,0.0794328234724,0.0197389129804
